month,mage,child_gender,mrace,birth_count
2016-01,15  -  19,F,CHINESE,4
2016-01,15  -  19,M,CHINESE,3
2016-01,15  -  19,F,INDIANS,3
2016-01,15  -  19,M,INDIANS,1
2016-01,15  -  19,F,MALAYS,7
2016-01,15  -  19,M,MALAYS,12
2016-01,15  -  19,M,OTHERS,1
2016-01,20  -  24,F,CHINESE,48
2016-01,20  -  24,M,CHINESE,43
2016-01,20  -  24,F,INDIANS,10
2016-01,20  -  24,M,INDIANS,5
2016-01,20  -  24,F,MALAYS,39
2016-01,20  -  24,M,MALAYS,25
2016-01,20  -  24,F,OTHERS,10
2016-01,20  -  24,M,OTHERS,10
2016-01,25  -  29,F,CHINESE,197
2016-01,25  -  29,M,CHINESE,231
2016-01,25  -  29,F,INDIANS,60
2016-01,25  -  29,M,INDIANS,40
2016-01,25  -  29,F,MALAYS,102
2016-01,25  -  29,M,MALAYS,110
2016-01,25  -  29,F,OTHERS,46
2016-01,25  -  29,M,OTHERS,45
2016-01,30  -  34,F,CHINESE,429
2016-01,30  -  34,M,CHINESE,439
2016-01,30  -  34,F,INDIANS,60
2016-01,30  -  34,M,INDIANS,78
2016-01,30  -  34,F,MALAYS,71
2016-01,30  -  34,M,MALAYS,100
2016-01,30  -  34,F,OTHERS,84
2016-01,30  -  34,M,OTHERS,114
2016-01,35  -  39,F,CHINESE,242
2016-01,35  -  39,M,CHINESE,223
2016-01,35  -  39,F,INDIANS,33
2016-01,35  -  39,M,INDIANS,33
2016-01,35  -  39,F,MALAYS,50
2016-01,35  -  39,M,MALAYS,39
2016-01,35  -  39,F,OTHERS,57
2016-01,35  -  39,M,OTHERS,58
2016-01,40  -  44,F,CHINESE,49
2016-01,40  -  44,M,CHINESE,57
2016-01,40  -  44,F,INDIANS,2
2016-01,40  -  44,M,INDIANS,4
2016-01,40  -  44,F,MALAYS,7
2016-01,40  -  44,M,MALAYS,7
2016-01,40  -  44,F,OTHERS,8
2016-01,40  -  44,M,OTHERS,8
2016-01,45  -  49,F,CHINESE,1
2016-01,45  -  49,M,CHINESE,2
2016-01,45  -  49,F,MALAYS,1
2016-01,45  -  49,M,MALAYS,1
2016-01,Under 15,M,MALAYS,1
2016-02,15  -  19,F,CHINESE,4
2016-02,15  -  19,M,CHINESE,3
2016-02,15  -  19,F,INDIANS,1
2016-02,15  -  19,M,INDIANS,1
2016-02,15  -  19,F,MALAYS,5
2016-02,15  -  19,M,MALAYS,6
2016-02,15  -  19,F,OTHERS,1
2016-02,15  -  19,M,OTHERS,2
2016-02,20  -  24,F,CHINESE,29
2016-02,20  -  24,M,CHINESE,31
2016-02,20  -  24,F,INDIANS,8
2016-02,20  -  24,M,INDIANS,7
2016-02,20  -  24,F,MALAYS,25
2016-02,20  -  24,M,MALAYS,30
2016-02,20  -  24,F,OTHERS,10
2016-02,20  -  24,M,OTHERS,7
2016-02,25  -  29,F,CHINESE,226
2016-02,25  -  29,M,CHINESE,215
2016-02,25  -  29,F,INDIANS,39
2016-02,25  -  29,M,INDIANS,41
2016-02,25  -  29,F,MALAYS,93
2016-02,25  -  29,M,MALAYS,112
2016-02,25  -  29,F,OTHERS,36
2016-02,25  -  29,M,OTHERS,45
2016-02,30  -  34,F,CHINESE,428
2016-02,30  -  34,M,CHINESE,400
2016-02,30  -  34,F,INDIANS,60
2016-02,30  -  34,M,INDIANS,62
2016-02,30  -  34,F,MALAYS,84
2016-02,30  -  34,M,MALAYS,98
2016-02,30  -  34,F,OTHERS,84
2016-02,30  -  34,M,OTHERS,74
2016-02,35  -  39,F,CHINESE,235
2016-02,35  -  39,M,CHINESE,227
2016-02,35  -  39,F,INDIANS,32
2016-02,35  -  39,M,INDIANS,32
2016-02,35  -  39,F,MALAYS,39
2016-02,35  -  39,M,MALAYS,33
2016-02,35  -  39,F,OTHERS,59
2016-02,35  -  39,M,OTHERS,71
2016-02,40  -  44,F,CHINESE,33
2016-02,40  -  44,M,CHINESE,31
2016-02,40  -  44,F,INDIANS,1
2016-02,40  -  44,F,MALAYS,9
2016-02,40  -  44,M,MALAYS,9
2016-02,40  -  44,F,OTHERS,10
2016-02,40  -  44,M,OTHERS,10
2016-02,45  -  49,M,CHINESE,1
2016-02,45  -  49,F,OTHERS,2
2016-02,45  -  49,M,OTHERS,1
2016-02,50  -  54,F,CHINESE,1
2016-02,Under 15,F,CHINESE,1
2016-03,15  -  19,F,CHINESE,1
2016-03,15  -  19,M,CHINESE,4
2016-03,15  -  19,F,INDIANS,1
2016-03,15  -  19,M,INDIANS,1
2016-03,15  -  19,F,MALAYS,5
2016-03,15  -  19,M,MALAYS,9
2016-03,15  -  19,F,OTHERS,1
2016-03,15  -  19,M,OTHERS,1
2016-03,20  -  24,F,CHINESE,33
2016-03,20  -  24,M,CHINESE,30
2016-03,20  -  24,F,INDIANS,9
2016-03,20  -  24,M,INDIANS,11
2016-03,20  -  24,F,MALAYS,39
2016-03,20  -  24,M,MALAYS,39
2016-03,20  -  24,F,OTHERS,14
2016-03,20  -  24,M,OTHERS,15
2016-03,25  -  29,F,CHINESE,195
2016-03,25  -  29,M,CHINESE,236
2016-03,25  -  29,F,INDIANS,40
2016-03,25  -  29,M,INDIANS,52
2016-03,25  -  29,F,MALAYS,122
2016-03,25  -  29,M,MALAYS,121
2016-03,25  -  29,F,OTHERS,50
2016-03,25  -  29,M,OTHERS,52
2016-03,30  -  34,F,CHINESE,469
2016-03,30  -  34,M,CHINESE,497
2016-03,30  -  34,F,INDIANS,79
2016-03,30  -  34,M,INDIANS,91
2016-03,30  -  34,F,MALAYS,103
2016-03,30  -  34,M,MALAYS,101
2016-03,30  -  34,F,OTHERS,69
2016-03,30  -  34,M,OTHERS,109
2016-03,35  -  39,F,CHINESE,229
2016-03,35  -  39,M,CHINESE,269
2016-03,35  -  39,F,INDIANS,29
